ns1:VSTRANA	ns1:NAZEVCELK	ns1:NAZEV_STRV	ns1:ZKRATKAV30	ns1:ZKRATKAV8	ns1:POCSTR_SLO
1	Křesťanská a demokratická unie - Československá strana lidová	Křesťan.a demokrat.unie-Českosl.strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1
2	Česká strana národně sociální	Česká strana národně sociální	Česká strana národně sociální	ČSNS	1
5	Strana zelených	Strana zelených	Strana zelených	SZ	1
7	Česká strana sociálně demokratická	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1
9	Nezávislá iniciativa (NEI)	Nezávislá iniciativa (NEI)	Nezávislá iniciativa (NEI)	NEI	1
11	Sdružení pro republiku-Republikánská strana Československa	Sdružení pro republiku-Republikán.strana Českosl.	Sdruž.pro rep.-Republ.str.Čsl.	SPR-RSČ	1
12	Romská občanská iniciativa ČR	Romská občanská iniciativa ČR	Romská občanská iniciativa ČR	ROI ČR	1
13	Občanská demokratická aliance	Občanská demokratická aliance	Občanská demokratická aliance	ODA	1
14	Republikánská unie	Republikánská unie	Republikánská unie	RU	1
20	Strana za životní jistoty	Strana za životní jistoty	Strana za životní jistoty	SŽJ	1
21	Republikánská strana zemědělského a malorolnického lidu	Republikán.str.zemědělského a malorolnického lidu	Rep.str.zeměd.a maloroln.lidu	RSZML	1
22	Agrární strana	Agrární strana	Agrární strana	AS	1
24	Konzervativní strana	Konzervativní strana	Konzervativní strana	KONS	1
25	Celostátní aktiv občanů	Celostátní aktiv občanů	Celostátní aktiv občanů	CAO	1
28	Demokratická strana Československa	Demokratická strana Československa	Demokratická strana Českoslov.	DSČ	1
29	Strana svobodných demokratů	Strana svobodných demokratů	Strana svobodných demokratů	SSD	1
32	Českomoravská unie středu	Českomoravská unie středu	Českomoravská unie středu	ČMUS	1
34	Strana moravského venkova	Strana moravského venkova	Strana moravského venkova	SMV	1
39	Levá alternativa - hnutí za demokratický a samosprávný socialismus	Levá alternativa-hnutí za demokrat.a samospr.soc.	Levá alternativa	LA	1
40	Klub angažovaných nestraníků	Klub angažovaných nestraníků	Klub angažovaných nestraníků	KAN	1
41	Asociace Radikálů za Spojené státy evropské	Asociace Radikálů za Spojené státy evropské	Asociace Radik.za Sp.st.evrop.	AR	1
42	Panevropská unie Čech a Moravy	Panevropská unie Čech a Moravy	Panevropská unie Čech a Moravy	PEUČM	1
43	Pravá alternativa	Pravá alternativa	Pravá alternativa	PA	1
44	Národně sociální strana - Československá strana národně socialistická	Národně sociální str.-Českosl.strana nár.social.	Národ.soc.str.-Čs.str.nár.soc.	NSS-ČSNS	1
45	Strana drobných podnikatelů	Strana drobných podnikatelů	Strana drobných podnikatelů	SDP	1
46	Moravská národní strana	Moravská národní strana	Moravská národní strana	MNS	1
47	Komunistická strana Čech a Moravy	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1
48	Hnutí 90	Hnutí 90	Hnutí 90	H 90	1
49	Hnutí angažovaných Romů	Hnutí angažovaných Romů	Hnutí angažovaných Romů	HAR	1
51	Národně demokratická strana	Národně demokratická strana	Národně demokratická strana	NDS	1
53	Občanská demokratická strana	Občanská demokratická strana	Občanská demokratická strana	ODS	1
55	Koruna Česká (monarchistická strana Čech, Moravy a Slezska)	Koruna Česká (monarch.str.Čech, Moravy a Slezska)	Koruna Česká (monarch.strana)	KČ	1
58	Česká národní strana	Česká národní strana	Česká národní strana	ČNS	1
59	Strana zdravotně postižených, důchodců a sociálně slabých občanů	Str.zdrav.postiž.,důchodců a sociálně slab.občanů	Str.zdrav.postiž.,důch.,slab.	SZP-DO	1
60	Hnutí za sociální spravedlnost	Hnutí za sociální spravedlnost	Hnutí za sociální spravedlnost	HSS	1
63	Republikáni	Republikáni	Republikáni	REP	1
64	Strana podnikatelů, živnostníků a rolníků České republiky	Strana podnikatelů, živnostníků a rolníků ČR	Str.podnikat.,živnost.,rolníků	SPŽR	1
65	Demokraté 92	Demokraté 92	Demokraté 92	D 92	1
67	Romský národní kongres	Romský národní kongres	Romský národní kongres	RNK	1
68	Masarykova demokratická strana	Masarykova demokratická strana	Masarykova demokratická strana	MDS	1
72	COEXISTENTIA	COEXISTENTIA	COEXISTENTIA	COEX	1
74	Strana demokratického socialismu	Strana demokratického socialismu	Strana demokrat.socialismu	SDS	1
76	Československá strana socialistická	Československá strana socialistická	Českosl.strana socialistická	ČSS	1
77	Česká pravice	Česká pravice	Česká pravice	ČP	1
78	Východoevropské národnostní politické hnutí v ČR	Východoevropské národnostní politické hnutí v ČR	Východoevr.národnost.pol.hnutí	VENPH	1
79	NE Bruselu - Národní demokracie	NE Bruselu - Národní demokracie	NE Bruselu - Nár. demokracie	ND	1
80	Nezávislí kandidáti	Nezávislí kandidáti	Nezávislí kandidáti	NK	1
81	Demokratická unie	Demokratická unie	Demokratická unie	DEU	1
82	Moravská demokratická strana	Moravská demokratická strana	Moravská demokratická strana	MoDS	1
83	Moravané	Moravané	Moravané	Moravané	1
84	Hnutí za samosprávnou demokracii - Společnost pro Moravu a Slezsko	Hnutí za samospr.dem.-Společn.pro Moravu a Slezsko	Hn.za samospr.dem.-Sp.Mor.a Sl	HSD-SMS	1
85	Pražané Praze	Pražané Praze	Pražané Praze	PP	1
86	Iniciativa občanů	Iniciativa občanů	Iniciativa občanů	IO	1
88	NEZÁVISLÍ	NEZÁVISLÍ	NEZÁVISLÍ	NEZ	1
90	Sdružení nezávislých kandidátů - místní sdružení celkem	Sdruž.nezávislých kandidátů-místní sdružení celkem	Sdruž.nezáv.kand.-míst.celkem	SNK-CELK	1
91	Sdružení nezávislých kandidátů města České Budějovice	Sdružení nezávislých kandidátů města Č.Budějovice	Sdruž.nezáv.kand.města Č.Buděj	SNK ČB	1
92	Živnostenská strana	Živnostenská strana	Živnostenská strana	ŽS	1
93	Komunistická strana Československa	Komunistická strana Československa	Komunistická str.Českosloven.	KSČ	1
94	Česká volba	Česká volba	Česká volba	ČV	1
95	Mladí demokraté	Mladí demokraté	Mladí demokraté	MD	1
96	Hnutí proti kriminalitě	Hnutí proti kriminalitě	Hnutí proti kriminalitě	HPK	1
98	Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET	Volte Pravý Blok www.cibulka.net	Volte Pr.Blok www.cibulka.net	PB	1
99	Bez politické příslušnosti	Bez politické příslušnosti	Bez politické příslušnosti	BEZPP	1
100	Humanistická strana	Humanistická strana	Humanistická strana	HS	1
101	Strana venkova - spojené občanské síly	Strana venkova - spojené občanské síly	Str.venkova-spoj.občan.síly	SV SOS	1
102	Unie svobody - Demokratická unie	Unie svobody - Demokratická unie	Unie svobody-Demokratická unie	US-DEU	1
103	Strana pro otevřenou společnost	Strana pro otevřenou společnost	Str.pro otevřenou společnost	SOS	1
104	Občanská koalice - Politický klub	Občanská koalice - Politický klub	Občanská koalice-Polit.klub	OK	1
105	Strana konzervativní smlouvy	Strana konzervativní smlouvy	Strana konzervativní smlouvy	SKS	1
106	Alternativa 2000	Alternativa 2000	Alternativa 2000	A2000	1
107	Demokratická liga	Demokratická liga	Demokratická liga	DL	1
108	Hnutí za prosperitu Brna	Hnutí za prosperitu Brna	Hnutí za prosperitu Brna	HPB	1
109	Zlínské hnutí nezávislých	Zlínské hnutí nezávislých	Zlínské hnutí nezávislých	ZHN	1
110	Demokratická regionální strana	Demokratická regionální strana	Demokratická regionální strana	DRS	1
111	Pravá volba pro Plzeň	Pravá volba pro Plzeň	Pravá volba pro Plzeň	PVP	1
112	HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST	HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST	HN.ZA HARM.ROZVOJ OBCÍ A MĚST	HNHRM	1
113	Volba pro město	Volba pro město	Volba pro město	VPM	1
114	Hnutí pro Havířov	Hnutí pro Havířov	Hnutí pro Havířov	HPH	1
115	Nezávislé sdružení občanů Blanska	Nezávislé sdružení občanů Blanska	Nezáv.sdruž.občanů Blanska	NSOB	1
116	Občanská liga FORUM	Občanská liga FORUM	Občanská liga FORUM	OLF	1
117	"""1.Sdružení nezávislých kandidátů Tábor"""	"""1.Sdružení nezávislých kandidátů Tábor"""	"""1.Sdr.nezáv.kandidátů Tábor"""	1.SNK	1
118	Sdružení pro sport a zdraví	Sdružení pro sport a zdraví	Sdružení pro sport a zdraví	SSZ	1
119	Unie pro sport a zdraví	Unie pro sport a zdraví	Unie pro sport a zdraví	USZ	1
120	Aliance nezávislých občanů	Aliance nezávislých občanů	Aliance nezávislých občanů	ANO	1
121	NÁRODNÍ PROSPERITA	NÁRODNÍ PROSPERITA	NÁRODNÍ PROSPERITA	NP	1
122	Českobudějovická nezávislá nová volba	Českobudějovická nezávislá nová volba	Českobudějov.nezáv.nová volba	ČbNNV	1
123	České hnutí za národní jednotu	České hnutí za národní jednotu	České hnutí za národní jednotu	ČHNJ	1
124	Nové hnutí	Nové hnutí	Nové hnutí	NH	1
125	Unie pro Evropu	Unie pro Evropu	Unie pro Evropu	UPE	1
126	Nestraníci pro Moravu	Nestraníci pro Moravu	Nestraníci pro Moravu	NPM	1
127	Republikáni Miroslava Sládka	Republikáni Miroslava Sládka	Republikáni Miroslava Sládka	RMS	1
128	"""Akce za skutečnou demokracii"""	"""Akce za skutečnou demokracii"""	"""Akce za skutečnou demokracii"""	AZSD	1
129	SNK Evropští demokraté	SNK Evropští demokraté	SNK Evropští demokraté	SNK ED	1
130	Strana svobodných severu	Strana svobodných severu	Strana svobodných severu	SSS	1
131	Strana občanského porozumění	Strana občanského porozumění	Strana občanského porozumění	SOP	1
132	Aktiv nezávislých občanů	Aktiv nezávislých občanů	Aktiv nezávislých občanů	ANEO	1
133	Cesta změny	Cesta změny	Cesta změny	CZ	1
134	"""Sebeobrana voličů-Váš hlas nepodpoří financování planých řečí, ale zdravotnictví Vašeho obvodu"""	"""Sebeobrana voličů-Váš hlas pro zdravotnictví"""	"""Sebeobrana voličů-Váš hlas"""	SeVo	1
135	Naděje	Naděje	Naděje	N	1
136	Tábor 2020	Tábor 2020	Tábor 2020	T2020	1
137	Strana zdravého rozumu	Strana zdravého rozumu	Strana zdravého rozumu	Rozumní	1
138	Liberálové.CZ	Liberálové.CZ	Liberálové.CZ	LIB	1
139	Volba pro budoucnost	Volba pro budoucnost	Volba pro budoucnost	VPB	1
140	Balbínova poetická strana	Balbínova poetická strana	Balbínova poetická strana	BPS	1
141	Konzervativní a sociální hnutí	Konzervativní a sociální hnutí	Konzervativní a sociální hnutí	KSH	1
142	Strana Zdraví Sportu Prosperity	Strana Zdraví Sportu Prosperity	Str.Zdraví Sportu Prosperity	SZSP	1
143	Spojení demokraté - Sdružení nezávislých	Spojení demokraté - Sdružení nezávislých	Spojení demokraté-Sdruž.nezáv.	SD-SN	1
144	Věci veřejné	Věci veřejné	Věci veřejné	VV	1
145	"""Jirkov 21.století"""	"""Jirkov 21.století"""	"""Jirkov 21.století"""	J 21 S	1
146	Nezávislí pro Prahu	Nezávislí pro Prahu	Nezávislí pro Prahu	NPP	1
147	MĚSTO LIDEM	MĚSTO LIDEM	MĚSTO LIDEM	ML	1
148	"""SONOB - sdružení ochrany nájemníků a ostatního bydlení"""	"""SONOB-sdružení ochrany nájemníků a ostat.bydlení"""	"""SONOB-sdruž.ochr.nájemníků"""	SONOB	1
149	Sociálně demokratická aliance nezávislých	Sociálně demokratická aliance nezávislých	Sociálně demokrat.aliance nez.	SDAN	1
150	Sdružení za lepší Vrchlabí	Sdružení za lepší Vrchlabí	Sdružení za lepší Vrchlabí	SZLV	1
151	Helax-Ostrava se baví	Helax-Ostrava se baví	Helax-Ostrava se baví	HOB	1
152	Národní strana	Národní strana	Národní strana	NS	1
153	Dělnická strana	Dělnická strana	Dělnická strana	DS	1
154	Všeobecná občanská strana	Všeobecná občanská strana	Všeobecná občanská strana	VOS	1
155	DOMOV	DOMOV	DOMOV	DOMOV	1
156	Dělnická strana sociální spravedlnosti	Dělnická strana sociální spravedlnosti	Dělnic.str.sociální spravedl.	DSSS	1
157	Demokratická Unie České republiky	Demokratická Unie České republiky	Demokratická Unie České rep.	DEUČR	1
158	"""Sdružení nestraníků"""	"""Sdružení nestraníků"""	"""Sdružení nestraníků"""	SN	1
159	Strana práce	Strana práce	Strana práce	SP	1
160	"""Viktor Kožený - Občanská federální demokracie"""	"""Viktor Kožený - Občanská federální demokracie"""	"""V.Kožený-Občan.feder.demokr."""	"""OFD"""	1
161	Svobodná občanská samospráva	Svobodná občanská samospráva	Svobodná občanská samospráva	SvOS	1
162	Správný směr	Správný směr	Správný směr	SPS	1
163	NEZÁVISLÁ VOLBA	NEZÁVISLÁ VOLBA	NEZÁVISLÁ VOLBA	NV	1
164	Evropská strana důstojného stáří	Evropská strana důstojného stáří	Evropská str.důstojného stáří	ESDS	1
165	Strana drobných živnostníků a podnikatelů	Strana drobných živnostníků a podnikatelů	Str.drobn.živnost.a podnikat.	SDŽP	1
166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1
167	Fair play - HNPD	Fair play - HNPD	Fair play - HNPD	HNPD	1
168	Občanské demokratické hnutí	Občanské demokratické hnutí	Občanské demokratické hnutí	ODH	1
169	Folklor i Společnost	Folklor i Společnost	Folklor i Společnost	FiS	1
170	Romská demokratická sociální strana	Romská demokratická sociální strana	Romská demokrat.sociální str.	RDSS	1
171	STRANA ROVNOST ŠANCÍ	STRANA ROVNOST ŠANCÍ	STRANA ROVNOST ŠANCÍ	SRŠ	1
172	NEZÁVISLÍ DEMOKRATÉ	NEZÁVISLÍ DEMOKRATÉ	NEZÁVISLÍ DEMOKRATÉ	NEZ/DEM	1
173	Chci svou šanci	Chci svou šanci	Chci svou šanci	CISN	1
174	Hnutí pro Těšín	Hnutí pro Těšín	Hnutí pro Těšín	HpT	1
175	Česká strana národně socialistická	Česká strana národně socialistická	Česká str.národ.socialistická	ČSNS2005	1
176	Strana občanské sebeobrany	Strana občanské sebeobrany	Strana občanské sebeobrany	S.O.S. PRAHA	1
177	Zelení	Zelení	Zelení	"""Z"""	1
178	4 VIZE - www.4vize.cz	4 VIZE - www.4vize.cz	4 vize - www.4vize.cz	4 VIZE	1
179	Sedma - strana pro Slatiňany, Škrovád, Trpišov, Kunčí, Presy, Podhůru a Kochánovice	Sedma-strana pro obec Slatiňany a její osady	Sedma-str.pro obec Slatiňany	Sedma	1
180	Klub sociálně demokratické orientace	Klub sociálně demokratické orientace	Klub sociál.demokrat.orientace	KSDO	1
181	Nestraníci	Nestraníci	Nestraníci	Nestran.	1
182	Karlovarská občanská alternativa	Karlovarská občanská alternativa	Karlovar.občanská alternativa	KOA	1
183	Alternativa pro občany	Alternativa pro občany	Alternativa pro občany	AO	1
184	Hnutí LEPŠÍ ŘEPY	Hnutí LEPŠÍ ŘEPY	Hnutí LEPŠÍ ŘEPY	HLŘ	1
185	Patrioti - hnutí za lepší Ústí n.L.	Patrioti - Hnutí za lepší Ústí n.L.	Patrioti-Hn.za lepší Ústí n.L.	P-HLÚ	1
186	Hnutí za lepší bydlení	Hnutí za lepší bydlení	Hnutí za lepší bydlení	HZLB	1
187	Občansko demokratické sdružení Zlín	Občansko demokratické sdružení Zlín	Občansko demokr.sdružení Zlín	ODSZ	1
188	SEMILÁCI	SEMILÁCI	SEMILÁCI	PSS	1
189	Zlínské sdružení živnostníků a podnikatelů	Zlínské sdružení živnostníků a podnikatelů	Zlín.sdruž.živnost.a podnikat.	ZSŽP	1
190	Mimoňská obroda	Mimoňská obroda	Mimoňská obroda	OHMO	1
191	MĚSTO I MLÁDEŽI	MĚSTO I MLÁDEŽI	MĚSTO I MLÁDEŽI	MIM	1
192	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU	1
193	Volba pro Mladou Boleslav	Volba pro Mladou Boleslav	Volba pro Mladou Boleslav	VpMB	1
194	ZVON	ZVON	ZVON	PHZ	1
195	Hnutí pro Prahu 11	Hnutí pro Prahu 11	Hnutí pro Prahu 11	HPP 11	1
196	Strana Svobody	Strana Svobody	Strana Svobody	Str.Svob	1
197	NESPOKOJENÍ OBČANÉ!	NESPOKOJENÍ OBČANÉ!	NESPOKOJENÍ OBČANÉ!	NO!	1
198	Republikánská strana Čech, Moravy a Slezska	Republikánská strana Čech, Moravy a Slezska	Republ.str.Čech,Moravy a Slez.	RSČMS	1
199	Klíčové hnutí	Klíčové hnutí	Klíčové hnutí	KH	1
200	Demokracie	Demokracie	Demokracie	DK	1
201	Koalice KDU-ČSL, ČSNS	Koalice KDU-ČSL, ČSNS	Koalice KDU-ČSL, ČSNS		2
202	Koalice KDU-ČSL, ČSNS, US	Koalice KDU-ČSL, ČSNS, US	Koalice KDU-ČSL, ČSNS, US		3
203	Koalice KDU-ČSL, SZ, DEU	Koalice KDU-ČSL, SZ, DEU	Koalice KDU-ČSL, SZ, DEU		3
204	Koalice KDU-ČSL, SZ, NEZ	Koalice KDU-ČSL, SZ, NEZ	Koalice KDU-ČSL, SZ, NEZ		3
205	Koalice KDU-ČSL, ODA	Koalice KDU-ČSL, ODA	Koalice KDU-ČSL, ODA		2
206	Koalice KDU-ČSL, ODA, ODS, US	Koalice KDU-ČSL, ODA, ODS, US	Koalice KDU-ČSL, ODA, ODS, US		4
207	Koalice KDU-ČSL, ODA, DEU	Koalice KDU-ČSL, ODA, DEU	Koalice KDU-ČSL, ODA, DEU		3
208	Čtyřkoalice	Čtyřkoalice	Čtyřkoalice	4KOALICE	4
209	Koalice KDU-ČSL, KSČM	Koalice KDU-ČSL, KSČM	Koalice KDU-ČSL, KSČM		2
210	Koalice KDU-ČSL, ODS	Koalice KDU-ČSL, ODS	Koalice KDU-ČSL, ODS		2
211	Koalice KDU-ČSL, ODS, US	Koalice KDU-ČSL, ODS, US	Koalice KDU-ČSL, ODS, US		3
212	Koalice KDU-ČSL, DEU	Koalice KDU-ČSL, DEU	Koalice KDU-ČSL, DEU		2
213	Koalice KDU-ČSL, DEU, US	Koalice KDU-ČSL, DEU, US	Koalice KDU-ČSL, DEU, US		3
214	Koalice KDU-ČSL, HSMSMNSJ	Koalice KDU-ČSL, HSMSMNSJ	Koalice KDU-ČSL, HSMSMNSJ		2
215	Koalice KDU-ČSL, NEZ	Koalice KDU-ČSL, NEZ	Koalice KDU-ČSL, NEZ		2
216	Koalice KDU-ČSL, US	Koalice KDU-ČSL, US	Koalice KDU-ČSL, US		2
217	Koalice KDU-ČSL, SOS	Koalice KDU-ČSL, SOS	Koalice KDU-ČSL, SOS		2
218	Koalice KDU-ČSL, SKS	Koalice KDU-ČSL, SKS	Koalice KDU-ČSL, SKS		2
219	Koalice ČSNS, SZ, KAN, NEZ	Koalice ČSNS, SZ, KAN, NEZ	Koalice ČSNS, SZ, KAN, NEZ		4
220	Koalice ČSNS, SZ, DEU	Koalice ČSNS, SZ, DEU	Koalice ČSNS, SZ, DEU		3
221	Koalice ČSNS, ČSSD	Koalice ČSNS, ČSSD	Koalice ČSNS, ČSSD		2
222	Koalice ČSNS, ODA	Koalice ČSNS, ODA	Koalice ČSNS, ODA		2
223	Koalice ČSNS, SŽJ	Koalice ČSNS, SŽJ	Koalice ČSNS, SŽJ		2
224	Koalice ČSNS, ODS	Koalice ČSNS, ODS	Koalice ČSNS, ODS		2
225	Koalice ČSNS, DEU	Koalice ČSNS, DEU	Koalice ČSNS, DEU		2
226	Koalice ČSNS, US	Koalice ČSNS, US	Koalice ČSNS, US		2
227	Koalice SZ, ČSSD	Koalice SZ, ČSSD	Koalice SZ, ČSSD	SZ+ČSSD	2
228	Koalice SZ, ODA	Koalice SZ, ODA	Koalice SZ, ODA		2
229	Koalice SZ, KAN, NEZ	Koalice SZ, KAN, NEZ	Koalice SZ, KAN, NEZ		3
230	Koalice ČSSD, SŽJ	Koalice ČSSD, SŽJ	Koalice ČSSD, SŽJ		2
231	Koalice ČSSD, KSČM	Koalice ČSSD, KSČM	Koalice ČSSD, KSČM		2
232	Koalice ČSSD, ODS	Koalice ČSSD, ODS	Koalice ČSSD, ODS		2
233	Koalice ČSSD, SDS	Koalice ČSSD, SDS	Koalice ČSSD, SDS		2
234	Koalice ČSSD, HSMSMNSJ	Koalice ČSSD, HSMSMNSJ	Koalice ČSSD, HSMSMNSJ		2
235	Koalice ČSSD, SV	Koalice ČSSD, SV	Koalice ČSSD, SV		2
236	Koalice SPR-RSČ, SDČR	Koalice SPR-RSČ, SDČR	Koalice SPR-RSČ, SDČR		2
237	Koalice SPR-RSČ, SDČR, MoDS	Koalice SPR-RSČ, SDČR, MODS	Koalice SPR-RSČ, SDČR, MODS		3
238	Koalice ODA, KAN, DEU	Koalice ODA, KAN, DEU	Koalice ODA, KAN, DEU		3
239	Koalice ODA, KAN, DEU, US	Koalice ODA, KAN, DEU, US	Koalice ODA, KAN, DEU, US		4
240	Koalice ODA, ODS	Koalice ODA, ODS	Koalice ODA, ODS		2
